stop	latitude	longitude
Budapest,Vasút u.16.Budapest 1115	47.46596	19.02191
Živanice	50.06028	15.63901
Siltse,AS	48.2878	22.99836
Nošovice,PZ - jih	49.65645	18.44361
Petřvald,Marjánka	49.83873	18.40676
Rokytá,Dolní Rokytá,ObÚ	50.55418	14.87654
Kryvý Rih,AS	47.90952	33.42163
Dnepropetrovsk,AS	48.47455	35.00755
Zaporožje,AS	47.80443	35.18559
Kovářská,Elektropřístroj	50.43483	13.04966
Karlovy Vary,Mattoniho nábřeží	50.23941	12.88913
Varnsdorf,CLO	50.91254	14.6124
Rumburk,CLO	50.95637	14.55265
Drásov,kostel	49.33235	16.4779
Čerkasy,AS	49.42705	32.05043
Kiev,Avtovokzal Kiev	50.40631	30.51983
Citice,SÚS	50.16151	12.62346
Kolín,PZKO NIPPON	50.07546	15.2273
Kolín,PZKO TOYOTA TSUSHO	50.07353	15.21777
Kolín,Retailpark Ovčáry	50.06218	15.22914
Jablonec n.Nisou,Pasecké nám.	50.73411	15.18926
Opatovec,Český Lačnov	49.7935	16.48378
Ústí nad Labem,Předlice Jateční	50.66173	14.0041
Bavoryně	49.90013	13.96083
Paris,Gare Paris Bercy	48.8378	2.38335
Drietoma,Jednota	48.89322	17.95445
Svinná,rázc.	48.7913	18.16152
Hradište,rázc.	48.48492	19.73221
Dolné Vestenice,Jednota	48.70466	18.40066
Nováky,Horné Lelovce	48.7219	18.53472
Chrenovec-Brusno	48.77387	18.61649
Ráztočno	48.76866	18.75769
Handlová,žel.nadjazd	48.73684	18.76142
Banská Bystrica,Štadlerovo nábr.	48.7316	19.14142
Banská Bystrica,žel.st.	48.73551	19.16403
Slovenská Ľupča,rázc.	48.76119	19.27338
Brusno	48.79785	19.38073
Nemecká	51.03928	13.73215
Predajná,pri moste	48.80945	19.46155
Podbrezová,aut.st.	48.81154	19.52527
Valaská,pri moste	48.81273	19.57498
Brezno,žel.st.	50.41343	15.00483
Valaská,Piesok,aut.st.	48.81236	19.55795
Tále,motel	48.86317	19.60372
Tále,hotel Partizán	48.87431	19.60078
Litoměřice,Koupaliště	50.53056	14.12266
Litoměřice,Lodní náměstí	50.53092	14.13072
České Budějovice,U Jižní zastávky	49.02578	14.50246
Frankfurt am Main,Flughafen Charterbusspur P32	50.05076	8.56932
Düsseldorf,Hbf Worringerstr.	51.22293	6.79534
Rotterdam,Centr.St.Conradstraat	51.92358	4.46656
Amsterdam,Sloterdijk	52.38903	4.83811
Zákupy,škola	50.68646	14.65112
Temelín,Lhota p.Horami	49.18227	14.31583
Valašské Meziříčí,U kasáren	49.47115	17.98048
Lewin Klodzki	50.40563	16.28983
Ludowe	50.39807	16.34926
