Petrovice u Karv.,Dolní Marklovice,škola|49.88284|18.54688
Zvolen,AS|50.50111|14.42833
Znojmo,Ulice Přemyslovců|48.85615|16.046
Praha,Hradčanské náměstí|50.08959|14.39713
Údlice|50.43943|13.458
Šternberk,hřbitov|49.72649|17.27478
Berlin,Bahnhof Südkreuz|50.10325|14.43578
Letiště terminál|50.1053|14.26705
Petrovice u Karv.,Dolní Marklovice,kostel|49.892|18.56974
Znojmo,náměstí Svobody|48.86031|16.04734
Jihlava,M.Beranov,Nové stavení|49.4003|15.63167
Rusava,Ráztoka,hotel|49.33568|17.69654
Klučenice,ObÚ|49.553|14.21207
Litoměřice,Koupaliště|50.37958|14.91811
Banská Bystrica,AS|48.46393|18.70806
Trojanovice,Bystré,u kříže|49.52439|18.27374
Jihlava,V.Beranov,Nové Domky|49.40483|15.64936
Znojmo,Masarykovo nám.|48.85454|16.04986
Olomouc,Nová Ulice|49.58735|17.24426
Litoměřice,Lodní náměstí|50.52997|14.13116
Petrovice u Karv.,Dolní Marklovice,dvůr|49.89111|18.56314
Olomouc,Tyfloservis|49.58005|17.23366
Jihlava,V.Beranov,zast.|49.40228|15.6315
Kadaň,Tušimice|50.38138|13.33924
Chop,AS|50.09919|14.39707
Znojmo,Ulice Milady Horákové-autobusové a vlakové nádr.|48.85299|16.05821
Olomouc,FN Ortopedie|49.58198|17.23693
Kobylnice|50.00668|15.37631
Petrovice u Karv.,Dolní Marklovice,Pustky|49.89474|18.55178
Klenčí p.Čerch.,Jindřichova Hora|49.41447|12.75383
Olomouc,FN U lékárny|49.58317|17.23922
Bohdalice-Pavlovice,Pavlovice|49.21196|17.05991
Kiev,Avtovokzal Kiev|49.97231|12.70156
Nemecká|50.85555|15.16494
Sviadnov,,Bioskládka|49.69095|18.31287
Olomouc,FN III. interní klinika|49.58389|17.2392
Letohrad,Nad Bažantnicí|50.04258|16.51316
Karlovy Vary,Globus|50.21937|12.8065
Olomouc,FN Ředitelství|49.58573|17.24018
Semily,Spálov,žel.zast.|50.6341|15.30098
Střížovice,rozc.0.5|49.25132|17.44829
Zatoka,AS|49.57018|14.14306
Nysa,dw.aut.|50.72314|15.17375
Olomouc,Globus|49.60153|17.22308
Olomouc,FN Centrální příjem|49.58467|17.23787
Jesenný,obec|50.66297|15.34279
Hájek|49.38654|15.27846
Olomouc,Olomouc CITY|49.6024|17.22062
Luhačovice,Valaška|49.11359|17.76543
Olomouc,FN Zdravotníků|49.58639|17.23747
Brezno,žel.st.|50.41343|15.00483
Uničov,u pomníku|49.77367|17.12039
Obecnice,Oseč,Pod Třemošnou|49.70331|13.94912
Tupesy,k Břestku|49.08667|17.36481
Olomouc,Fakultní nem.|49.58595|17.2396
Mukačevo,AS|50.09|14.44028
Uničov,Dukelská|49.76993|17.11595
Olomouc,Šibeník|49.59644|17.23772
Chrudim,nemocnice|49.94227|15.80736
Velký Valtinov,Paseky|50.756|14.75137
Jívová,Olomoucká|49.7045|17.38877
Bystrá|49.50811|15.37085
Loukov,křiž.|49.34439|17.98405
Olomouc,Pionýrská|49.5776|17.23832
Uničov,sídl.Pionýrů|49.76738|17.11255
Užhorod,AS|50.09|14.44028
Olomouc,Svornosti|49.59414|17.23449
Velký Valtinov,u Paseků|50.73919|14.7392
Dolany,Pohořany,garáž|49.67234|17.37761
České Budějovice,Kněžské Dvory - škola|49.00046|14.47595
Šanov,pož.zbroj.|48.80216|16.37403
